Complaint_ID,Complaint_Text,Category
SWG688730,I am extremely disappointed. Order status is misleading. Shows delivered but actually still cooking.,Inconsistent Order Status
SWG191468,Very poor service quality. Extremely late delivery. Ordered lunch and received at dinner time. This is really disappointing.,Late Delivery
SWG923982,App freezes every time I try to add items to cart.,App Technical Issue
SWG153840,Food quality is deteriorating. This restaurant used to be good before.,Food Quality Issue
SWG501675,Incomplete order delivered. Missing main course items.,Missing Items
SWG281301,Delivery boy didn't call properly and marked order as delivered without delivering.,Delivery Executive Issue
SWG259222,Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG692974,Offer not applied correctly during checkout process. I am losing trust in Swiggy.,Coupon/Offer Issue
SWG557318,Unhygienic packaging with visible dirt and poor handling. This needs immediate attention.,Unhygienic Packaging
SWG889314,I expect better service from Swiggy. Wrong delivery address used. Food delivered to different location. Please help resolve this matter urgently.,Delivery Location Issue
SWG766608,Service from restaurant was below expectations. Need improvement. Please improve your service quality.,Restaurant Service Issue
SWG731399,I am extremely disappointed. Restaurant not picking up calls for order clarification.,Non-Responsive Restaurant
SWG599967,Money debited but order not placed. Payment gateway issue. I hope this gets resolved soon.,Payment Issue
SWG809577,Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG446966,Incomplete order delivered. Missing main course items.,Missing Items
SWG986447,I want a full refund for this. Quality of food was disappointing. Items were not fresh at all.,Food Quality Issue
SWG240934,App is crashing repeatedly during order placement.,App Technical Issue
SWG667036,Delivery boy was very rude and unprofessional during delivery. This needs immediate attention.,Delivery Executive Issue
SWG871635,Received food in damaged packaging. Very unhygienic condition.,Unhygienic Packaging
SWG264663,This ruined my entire meal experience. Called restaurant multiple times but no response from their side.,Non-Responsive Restaurant
SWG705407,Received poor quality food with weird taste and texture.,Food Quality Issue
SWG522757,Payment got stuck and amount debited without order confirmation.,Payment Issue
SWG607348,Very poor service quality. App crashes when trying to apply coupon codes.,App Technical Issue
SWG886553,This ruined my entire meal experience. Inconsistent order updates. Can't rely on the status information. Please improve your service quality.,Inconsistent Order Status
SWG213796,The food was of terrible quality. Completely inedible and waste of money. This needs immediate attention.,Food Quality Issue
SWG487477,Please take immediate action. The GPS tracking is not updating. Stuck at 'preparing' for 2 hours.,Tracking Issue
SWG434640,Food arrived cold despite paying delivery charges. Very unsatisfied.,Cold Food Delivery
SWG345884,The GPS tracking is not updating. Stuck at 'preparing' for 2 hours.,Tracking Issue
SWG285413,Status updates are completely wrong and inconsistent throughout. I am losing trust in Swiggy.,Inconsistent Order Status
SWG998813,Paid for 4 items but received only 2. Missing items not delivered. This is really disappointing.,Missing Items
SWG863701,Applied valid coupon but discount not reflected in final amount. Please help resolve this matter urgently.,Coupon/Offer Issue
SWG563348,This is unacceptable. No response from restaurant staff when trying to discuss order issues. Please improve your service quality.,Non-Responsive Restaurant
SWG565540,This is unacceptable. Order delivered 2 hours late. Very disappointing service. Please help resolve this matter urgently.,Late Delivery
SWG599250,Called restaurant multiple times but no response from their side. Please improve your service quality.,Non-Responsive Restaurant
SWG771652,This has happened multiple times. The food was cold when delivered. Seems like it was prepared hours ago. Please improve your service quality.,Cold Food Delivery
SWG182255,Support team is not resolving my complaint properly.,Professional Support Agent
SWG723330,Please take immediate action. Payment failed but amount was deducted from my account.,Payment Issue
SWG117233,Cancelled my order after confirming it. Very disappointing experience. Please help resolve this matter urgently.,Order Cancellation
SWG476485,The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG281973,This is very frustrating. Food quality is deteriorating. This restaurant used to be good before. I am losing trust in Swiggy.,Food Quality Issue
SWG156068,Location issue during delivery. Executive was completely lost. I want a proper explanation for this.,Delivery Location Issue
SWG930924,Rude delivery executive. Thrown the food bag and left without confirmation.,Delivery Executive Issue
SWG822312,This ruined my entire meal experience. The order status is not consistent. Shows different stages simultaneously. This is really disappointing.,Inconsistent Order Status
SWG470157,Contacted support multiple times but no proper resolution provided.,Professional Support Agent
SWG648175,Refund amount is less than what was originally paid. This is not what I expected from Swiggy.,Refund Issue
SWG382602,The order tracking is not working properly. I can't see where my order is. Please take necessary action.,Tracking Issue
SWG146675,Received poor quality food with weird taste and texture.,Food Quality Issue
SWG150063,Promotional offer not applied even after fulfilling all conditions. I want a proper explanation for this.,Coupon/Offer Issue
SWG909891,Unhygienic packaging with stains and poor quality containers. Please help resolve this matter urgently.,Unhygienic Packaging
SWG592025,Completely wrong order delivered. None of the items match my order.,Incorrect Order
SWG123942,Double payment charged for single order. Refund not processed yet. I want a proper explanation for this.,Payment Issue
SWG905984,I want a full refund for this. Food packaging was damaged and unhygienic. Found hair in the food. This needs immediate attention.,Unhygienic Packaging
SWG334300,Coupon code not working despite meeting all the criteria. This is not what I expected from Swiggy.,Coupon/Offer Issue
SWG312559,The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG276919,Wrong order delivered. This is not what I ordered at all. Please improve your service quality.,Incorrect Order
SWG306851,Discount coupon not working for eligible restaurants.,Coupon/Offer Issue
SWG901087,Refund status shows completed but amount not reflected in account. Please ensure this doesn't happen again.,Refund Issue
SWG567262,This has happened multiple times. Delivery executive didn't follow delivery instructions and was arrogant.,Delivery Executive Issue
SWG891930,This ruined my entire meal experience. Got someone else's order. The items are completely different. I want a proper explanation for this.,Incorrect Order
SWG722978,Poor service from restaurant staff. They were very rude.,Restaurant Service Issue
SWG289893,Restaurant doesn't answer calls even for urgent order modifications.,Non-Responsive Restaurant
SWG703950,Called restaurant multiple times but no response from their side. Please ensure this doesn't happen again.,Non-Responsive Restaurant
SWG535878,Food packaging was completely damaged and looked unsafe to eat.,Unhygienic Packaging
SWG197793,I want a full refund for this. Tracking is completely inaccurate. Shows delivered but I haven't received anything.,Tracking Issue
SWG934638,This ruined my entire meal experience. Cold and stale food delivered. Temperature was room temperature. Please take necessary action.,Cold Food Delivery
SWG775049,Several items missing from my order without any notification.,Missing Items
SWG929822,This has happened multiple times. Order got cancelled automatically and money is still debited from my account.,Order Cancellation
SWG606755,Technical issue with app login. Cannot access my account. Please take necessary action.,App Technical Issue
SWG756493,Payment deducted twice for the same order. Need immediate refund.,Payment Issue
SWG623339,I want a full refund for this. Promotional offer not applied even after fulfilling all conditions. This needs immediate attention.,Coupon/Offer Issue
SWG752788,Delivery person went to wrong address and food got cold.,Delivery Location Issue
SWG736818,I am extremely disappointed. Cold food delivery. The curry was completely cold and oil separated. Please improve your service quality.,Cold Food Delivery
SWG230674,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG113390,This is unacceptable. The order status is not consistent. Shows different stages simultaneously. Please help resolve this matter urgently.,Inconsistent Order Status
SWG970542,The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG101025,Half of the ordered items are missing from the delivery.,Missing Items
SWG430779,Delivery boy didn't call properly and marked order as delivered without delivering.,Delivery Executive Issue
SWG311505,Very poor service quality. Order status is misleading. Shows delivered but actually still cooking.,Inconsistent Order Status
SWG391622,This is unacceptable. Delivery boy didn't wear mask and was very unprofessional in behavior. This is not what I expected from Swiggy.,Delivery Executive Issue
SWG838918,Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG791396,Customer care executive was rude and disconnected the call abruptly. This is really disappointing.,Professional Support Agent
SWG678002,Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG691123,I expect better service from Swiggy. Delayed delivery by more than 90 minutes without proper communication. I am losing trust in Swiggy.,Late Delivery
SWG680172,Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG271017,Discount coupon not working for eligible restaurants.,Coupon/Offer Issue
SWG975937,Contacted support multiple times but no proper resolution provided. This needs immediate attention.,Professional Support Agent
SWG503150,Several items missing from my order without any notification.,Missing Items
SWG609911,This has happened multiple times. Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG974055,Discount coupon not working for eligible restaurants. Please improve your service quality.,Coupon/Offer Issue
SWG745483,Charged extra amount than the order total. Billing discrepancy. This is really disappointing.,Payment Issue
SWG461122,Please resolve this issue immediately. Restaurant not picking up calls for order clarification.,Non-Responsive Restaurant
SWG727263,This ruined my entire meal experience. Restaurant is not responding to calls regarding order modification.,Non-Responsive Restaurant
SWG148026,Incorrect order received. Ordered pizza but got burger instead. This needs immediate attention.,Incorrect Order
SWG659024,Sudden order cancellation after payment was successful. Need immediate refund.,Order Cancellation
SWG145864,I am extremely disappointed. Food delivered 3 hours after estimated time. Completely unacceptable. This is really disappointing.,Late Delivery
SWG249228,Food quality was very poor. Tasted stale and not fresh.,Food Quality Issue
SWG629018,Promised refund but haven't received money back in my account.,Refund Issue
SWG651640,Restaurant cancelled my order at the last minute without proper reason.,Order Cancellation
SWG639165,Wrong delivery address used. Food delivered to different location. This needs immediate attention.,Delivery Location Issue
SWG128679,I am extremely disappointed. Received conflicting status updates via SMS and app notifications. Please improve your service quality.,Inconsistent Order Status
SWG187696,Very poor service quality. Did not receive all ordered items. Missing beverages and dessert. Please improve your service quality.,Missing Items
SWG244787,Please resolve this issue immediately. Wallet balance not updated after successful payment deduction. I hope this gets resolved soon.,Payment Issue
SWG610699,Very poor service quality. Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG221703,Wrong order delivered. This is not what I ordered at all.,Incorrect Order
SWG483542,Order tracking shows wrong location and estimated time keeps changing. Please take necessary action.,Tracking Issue
SWG466749,This has happened multiple times. Status updates are completely wrong and inconsistent throughout.,Inconsistent Order Status
SWG390828,The food was of terrible quality. Completely inedible and waste of money. I hope this gets resolved soon.,Food Quality Issue
SWG193819,Cancelled order but refund is taking too much time to process. I am losing trust in Swiggy.,Refund Issue
SWG801655,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG964446,Unhygienic packaging with stains and poor quality containers.,Unhygienic Packaging
SWG642818,Very poor service quality. Refund status shows completed but amount not reflected in account.,Refund Issue
SWG888939,Please resolve this issue immediately. Order cancelled without consent. This is the third time this month. I want a proper explanation for this.,Order Cancellation
SWG630734,Order was supposed to arrive in 30 minutes but came after 2 hours.,Late Delivery
SWG414127,Bad service quality from the restaurant. Very disappointing experience.,Restaurant Service Issue
SWG668293,Promised refund but haven't received money back in my account. Please help resolve this matter urgently.,Refund Issue
SWG795205,This ruined my entire meal experience. The order tracking is not working properly. I can't see where my order is. I want a proper explanation for this.,Tracking Issue
SWG982298,Contacted support multiple times but no proper resolution provided.,Professional Support Agent
SWG958602,Called restaurant multiple times but no response from their side. I hope this gets resolved soon.,Non-Responsive Restaurant
SWG544692,Incorrect order received. Ordered pizza but got burger instead.,Incorrect Order
SWG673619,Received cold food after 2 hours delay. Pizza was like cardboard.,Cold Food Delivery
SWG446589,Swiggy app is not working properly. Keeps showing error messages.,App Technical Issue
SWG962392,App freezes every time I try to add items to cart.,App Technical Issue
SWG767782,Please resolve this issue immediately. Rude delivery executive. Thrown the food bag and left without confirmation. This needs immediate attention.,Delivery Executive Issue
SWG838094,Received completely different order. Ordered veg but got non-veg items. This is not what I expected from Swiggy.,Incorrect Order
SWG779068,Unhygienic packaging with stains and poor quality containers.,Unhygienic Packaging
SWG515182,Order was cancelled by restaurant after 45 minutes. No explanation given.,Order Cancellation
SWG521673,Please resolve this issue immediately. Tried calling restaurant for special instructions but they don't respond.,Non-Responsive Restaurant
SWG285710,Very poor service quality. Partial refund received instead of full amount for cancelled order.,Refund Issue
SWG734604,Refund not processed even after 7 working days of cancellation. Please ensure this doesn't happen again.,Refund Issue
SWG347600,This is unacceptable. Unhygienic packaging with visible dirt and poor handling. Please improve your service quality.,Unhygienic Packaging
SWG772580,The order status is not consistent. Shows different stages simultaneously.,Inconsistent Order Status
SWG172103,Restaurant doesn't answer calls even for urgent order modifications.,Non-Responsive Restaurant
SWG889614,Support team keeps giving generic responses without solving the issue.,Professional Support Agent
SWG841947,Extremely late delivery. Ordered lunch and received at dinner time. This needs immediate attention.,Late Delivery
SWG751517,I want a full refund for this. Unable to track my order. The app shows no information about delivery status.,Tracking Issue
SWG235808,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG355421,Payment option not working properly during checkout process.,Payment Issue
SWG975468,Several items missing from my order without any notification. This is not what I expected from Swiggy.,Missing Items
SWG301996,Wrong refund amount credited. Need to get the correct amount back.,Refund Issue
SWG909814,Missing items from order. This is the second time this happened.,Missing Items
SWG372022,Double payment charged for single order. Refund not processed yet.,Payment Issue
SWG456324,This is very frustrating. No response from restaurant despite multiple attempts to contact. I am losing trust in Swiggy.,Non-Responsive Restaurant
SWG157433,Incomplete order delivered. Missing main course items. Please take necessary action.,Missing Items
SWG846610,Double payment charged for single order. Refund not processed yet.,Payment Issue
SWG262062,Incorrect order received. Ordered pizza but got burger instead.,Incorrect Order
SWG989173,Status shows 'out for delivery' but then changes back to 'preparing'. This needs immediate attention.,Inconsistent Order Status
SWG655149,Delivered food was cold and the packaging was not insulated properly.,Cold Food Delivery
SWG632195,Incorrect order received. Ordered pizza but got burger instead.,Incorrect Order
SWG465509,Received cold food after 2 hours delay. Pizza was like cardboard.,Cold Food Delivery
SWG417201,Unhygienic packaging with visible dirt and poor handling. Please take necessary action.,Unhygienic Packaging
SWG322623,This has happened multiple times. The food was of terrible quality. Completely inedible and waste of money. Please take necessary action.,Food Quality Issue
SWG690672,Food quality is deteriorating. This restaurant used to be good before. Please help resolve this matter urgently.,Food Quality Issue
SWG289517,App is crashing repeatedly during order placement. I am losing trust in Swiggy.,App Technical Issue
SWG336033,Payment got stuck and amount debited without order confirmation.,Payment Issue
SWG964278,The GPS tracking is not updating. Stuck at 'preparing' for 2 hours.,Tracking Issue
SWG550883,Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG546688,This is very frustrating. The order status is not consistent. Shows different stages simultaneously. This needs immediate attention.,Inconsistent Order Status
SWG442945,Refund initiated but money not credited to my payment method.,Refund Issue
SWG305967,I am extremely disappointed. App interface is buggy and not responding to touch inputs.,App Technical Issue
SWG689593,Received conflicting status updates via SMS and app notifications.,Inconsistent Order Status
SWG692910,Had to explain my problem multiple times to different support agents.,Professional Support Agent
SWG239563,Missing items from order. This is the second time this happened.,Missing Items
SWG620438,Got someone else's order. The items are completely different.,Incorrect Order
SWG323573,Technical issue with app login. Cannot access my account. Please take necessary action.,App Technical Issue
SWG328287,Discount coupon not working for eligible restaurants. This needs immediate attention.,Coupon/Offer Issue
SWG214512,Poor service from restaurant staff. They were very rude.,Restaurant Service Issue
SWG497509,Food delivered 3 hours after estimated time. Completely unacceptable. Please improve your service quality.,Late Delivery
SWG488438,Wrong refund amount credited. Need to get the correct amount back.,Refund Issue
SWG499670,Tried calling restaurant for special instructions but they don't respond.,Non-Responsive Restaurant
SWG193653,Unhygienic packaging with visible dirt and poor handling.,Unhygienic Packaging
SWG888106,Restaurant service quality has declined significantly over time. I am losing trust in Swiggy.,Restaurant Service Issue
SWG109708,This has happened multiple times. Payment option not working properly during checkout process.,Payment Issue
SWG800912,Restaurant service quality has declined significantly over time. Please help resolve this matter urgently.,Restaurant Service Issue
SWG900088,I want a full refund for this. Wrong order delivered. This is not what I ordered at all.,Incorrect Order
SWG290556,I expect better service from Swiggy. The order tracking is not working properly. I can't see where my order is. This is not what I expected from Swiggy.,Tracking Issue
SWG384048,I want a full refund for this. Partial refund received instead of full amount for cancelled order. I am losing trust in Swiggy.,Refund Issue
SWG351338,Please take immediate action. Restaurant not picking up calls for order clarification. I hope this gets resolved soon.,Non-Responsive Restaurant
SWG191254,Cold food delivery. The curry was completely cold and oil separated.,Cold Food Delivery
SWG925549,The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG816881,This is unacceptable. Food delivered way past the estimated time. Lost appetite by then. I hope this gets resolved soon.,Late Delivery
SWG398806,Payment option not working properly during checkout process.,Payment Issue
SWG656379,Cancelled my order after confirming it. Very disappointing experience. This needs immediate attention.,Order Cancellation
SWG779003,This is very frustrating. Money debited but order not placed. Payment gateway issue.,Payment Issue
SWG136563,This is very frustrating. Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG465145,This has happened multiple times. Food quality is deteriorating. This restaurant used to be good before.,Food Quality Issue
SWG531228,Rude delivery executive. Thrown the food bag and left without confirmation.,Delivery Executive Issue
SWG361103,Very late delivery without any notification or apology. This is not what I expected from Swiggy.,Late Delivery
SWG260639,Delivery boy was very rude and unprofessional during delivery.,Delivery Executive Issue
SWG509758,Wrong refund amount credited. Need to get the correct amount back.,Refund Issue
SWG698469,This is unacceptable. Payment option not working properly during checkout process.,Payment Issue
SWG350069,Wrong food delivered. The order doesn't match what I selected.,Incorrect Order
SWG875282,Very poor service quality. Wrong food delivered. The order doesn't match what I selected.,Incorrect Order
SWG196931,Food delivered way past the estimated time. Lost appetite by then.,Late Delivery
SWG600695,Please resolve this issue immediately. Restaurant staff was uncooperative and didn't handle requests properly.,Restaurant Service Issue
SWG629818,The packaging was torn and food was spilled inside the bag.,Unhygienic Packaging
SWG795405,Location detection not working in the app. Shows wrong address. This is not what I expected from Swiggy.,App Technical Issue
SWG607157,Rude delivery executive. Thrown the food bag and left without confirmation.,Delivery Executive Issue
SWG130354,Please resolve this issue immediately. Status shows 'out for delivery' but then changes back to 'preparing'.,Inconsistent Order Status
SWG907562,Food packaging was damaged and unhygienic. Found hair in the food.,Unhygienic Packaging
SWG988380,This is very frustrating. Did not receive all ordered items. Missing beverages and dessert.,Missing Items
SWG738914,Wallet balance not updated after successful payment deduction.,Payment Issue
SWG571452,Poor food quality with bad taste and smell. Seems like old ingredients used.,Food Quality Issue
SWG338442,Please take immediate action. Cancelled order but refund is taking too much time to process. Please improve your service quality.,Refund Issue
SWG236079,Ordered combo meal but received incomplete items.,Missing Items
SWG406019,Order delivered 2 hours late. Very disappointing service.,Late Delivery
SWG788758,Promotional offer not applied even after fulfilling all conditions. I am losing trust in Swiggy.,Coupon/Offer Issue
SWG236301,Delivery person went to wrong address and food got cold.,Delivery Location Issue
SWG820184,I am extremely disappointed. Order cancelled without consent. This is the third time this month. I hope this gets resolved soon.,Order Cancellation
SWG617781,This is very frustrating. Delivery tracking shows wrong delivery executive details and location.,Tracking Issue
